frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
271,1,2046.1391381155545 1218.028314816408 2611.37395695323 1695.6511081424414,2247.7588500976562 1495.6049194335938 2460.669677734375 1591.130859375,0,0,0
272,1,2045.7306638408766 1220.0382864630114 2612.589262979182 1697.9921930562462,2248.103073120117 1497.429702758789 2462.4552612304688 1593.9955444335938,0,0,0
273,1,2045.3221895661986 1222.048258109615 2613.8045690051335 1700.333277970051,2248.447296142578 1499.2544860839844 2464.2408447265625 1596.8602294921875,0,0,0
274,1,2044.9137152915207 1224.0582297562185 2615.0198750310856 1702.6743628838558,2248.791519165039 1501.0792694091797 2466.0264282226562 1599.7249145507812,0,0,0
275,1,2044.5052410168428 1226.068201402822 2616.235181057037 1705.0154477976607,2249.1357421875 1502.904052734375 2467.81201171875 1602.589599609375,0.4940332770347595,AP05JEO,0.4306942767944405
276,1,2047.8044421337086 1228.9562779986197 2618.577063974191 1707.8871221350735,2219.661865234375 1511.7498779296875 2489.67529296875 1621.0968017578125,0.4974382221698761,AP05JEO,0.23840344214255235
277,1,2049.079458733581 1229.9758484691904 2619.251034884033 1708.8811383062964,2219.6259765625 1511.7451171875 2489.76220703125 1621.105224609375,0.49782559275627136,AP05JEO,0.23840344214255235
278,1,2050.7832953195316 1230.9941528731936 2621.041486038685 1709.8129026448362,2217.503173828125 1516.19482421875 2489.69970703125 1623.056884765625,0.3829088807106018,AP05JEO,0.48447556292696203
279,1,2051.6827643067045 1231.786263623936 2622.186251544693 1713.1751290078118,2240.2506103515625 1519.9578857421875 2477.372314453125 1619.2249755859375,0,0,0
280,1,2052.582233293878 1232.5783743746788 2623.331017050701 1716.5373553707877,2262.998046875 1523.720947265625 2465.044921875 1615.39306640625,0.2529926598072052,AP05JEO,0.4735589775834378
281,1,2050.835107498338 1234.0475545051481 2623.8299762142656 1720.0247470629313,2259.3941243489585 1524.2210693359375 2468.8440755208335 1618.275634765625,0,0,0
282,1,2049.0879817027985 1235.5167346356175 2624.3289353778305 1723.5121387550746,2255.7902018229165 1524.72119140625 2472.6432291666665 1621.158203125,0,0,0
