frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
58,3.0,[629.9809913847907 1558.2746576951422 1372.9729786973912 2152.4955170738476],[876.6154174804688 1992.62841796875 1139.872314453125 2098.3623046875],0.4630676805973053,NA13NRU,0.6919287911788702
58,5.0,[2211.1302219305126 1278.9757378989225 2862.4865542966672 1930.2284507960107],[2457.8291015625 1723.2601318359375 2608.576904296875 1813.9530029296875],0.3144376277923584,NL51VST,0.20831417321641174
59,3.0,[631.9812654418536 1563.0351487245157 1374.0581999423239 2152.971832823667],[894.9570922851562 2011.0107421875 1136.198974609375 2104.32275390625],0.28909820318222046,NA13NRU,0.17806462117760136
60,3.0,[632.8345364845636 1565.51673663208 1372.9210119882143 2152.356730329959],[888.7298583984375 2016.04052734375 1124.5224609375 2112.593017578125],0.4674713611602783,NA13NRU,0.21572563343953854
61,3.0,[633.550365025319 1566.9400430673634 1372.1750723972075 2151.5055243111447],[888.6157836914062 2016.0390625 1124.56494140625 2112.593505859375],0.4671042263507843,NA13NRU,0.22136499738243642
63,3.0,[635.1847806941324 1575.9889025521757 1370.7899918702324 2152.337763551578],[873.763427734375 2032.031982421875 1097.4161376953125 2124.83984375],0.3481041491031647,NA13NRU,0.33255458393040666
65,3.0,[624.1528389790994 1586.4682803192914 1364.5601758181895 2151.56544592872],[870.8349609375 2042.2825927734375 1107.5467529296875 2134.689453125],0.34529465436935425,NA13NRU,0.3571392196994265
68,3.0,[606.020520807104 1595.7024462849974 1358.7101927239657 2151.5643783005366],[878.4006958007812 2050.1220703125 1101.48779296875 2148.087158203125],0.2575387954711914,NA13NFU,0.2858962148765504
88,5.0,[2219.474493801604 1371.3382373472346 2904.391734434287 2053.5664581610063],[2471.857421875 1831.552490234375 2655.75830078125 1928.397705078125],0.3473934233188629,HU51VSU,0.28611258481139323
95,5.0,[2224.918030953035 1385.7151302800703 2920.3874455375794 2079.2136614839533],[2473.129150390625 1856.274169921875 2666.9453125 1948.905029296875],0.4863360524177551,CZ51YSU,0.05763637665330184
98,5.0,[2223.9405746176044 1398.4786688302906 2924.619389685832 2089.22689230836],[2474.423828125 1863.305419921875 2661.68798828125 1959.7474365234375],0.34947460889816284,MT51VSU,0.2620249600592367
